voter_id,dim1,dim2,dim3,id,jméno,strana
Vít Prýgl,-0.3593376721383666,-0.2983142468582847,0.2790080182194339,Vít Prýgl,Vít Prýgl,ANO
Miroslav Kubásek,-0.4162497903542392,-0.2197010114854247,0.2047921906015942,Miroslav Kubásek,Miroslav Kubásek,ANO
Kateřina Jarošová,-0.4448139482907504,-0.164200435064877,0.1355914569166869,Kateřina Jarošová,Kateřina Jarošová,ANO
Karin Podivinská,-0.411830746718772,-0.1786388451427389,0.2352334687575879,Karin Podivinská,Karin Podivinská,ANO
Karin Karasová,-0.5157700665497554,-0.4914209801642469,-0.315321948550463,Karin Karasová,Karin Karasová,ANO
Karel Kalivoda,-0.4141251959242477,-0.2081808937250361,0.1882449468247608,Karel Kalivoda,Karel Kalivoda,ANO
Pavel Kříž,-0.4136665290554561,-0.2269226287684299,0.1888082038809294,Pavel Kříž,Pavel Kříž,ANO
Pavel Outrata,-0.4149667745105715,-0.2204262832000347,0.1907660305348885,Pavel Outrata,Pavel Outrata,ANO
Petr Bauer,-0.3826719828763406,-0.2572080423743385,0.241039996944622,Petr Bauer,Petr Bauer,ANO
Petr Bořecký,-0.3895334110511381,-0.2342214277723948,0.207680457570441,Petr Bořecký,Petr Bořecký,ANO
Daniel Struž,-0.4404749828891013,-0.1847287141258023,0.0411263202171023,Daniel Struž,Daniel Struž,ANO
Alena Gruberová,-0.3326602677226853,-0.231716067244081,0.1806823092911014,Alena Gruberová,Alena Gruberová,ANO
René Černý,-0.4058280586364957,-0.2323752627431695,0.2239074006327773,René Černý,René Černý,ANO
René Novotný,-0.453728224992346,-0.08308078343778,-0.0134630845990644,René Novotný,René Novotný,ANO
Michal Marek,-0.3656163614817486,0.1192163671339985,-0.3873791615525334,Michal Marek,Michal Marek,KDU-ČSL a STAN
Radomír Vondra,-0.2953426379174964,0.1353796866410277,-0.4646658147131949,Radomír Vondra,Radomír Vondra,KDU-ČSL a STAN
Petr Hladík,-0.3750894762954236,0.1667148902914333,-0.2288785850135664,Petr Hladík,Petr Hladík,KDU-ČSL a STAN
Filip Chvátal,-0.3748768504564789,0.1422995877416137,-0.3535079100778841,Filip Chvátal,Filip Chvátal,KDU-ČSL a STAN
