id,name,given_name,family_name,identifiers,sources
usti-nad-labem:person:martin-balej,Martin Balej,Martin,Balej,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:martin-krsek,Martin Krsek,Martin,Krsek,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:michal-mohr,Michal Mohr,Michal,Mohr,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:michal-sidak,Michal Šidák,Michal,Šidák,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:patricie-junkova,Patricie Junková,Patricie,Junková,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:patricie-sejnohova,Patricie Šejnohová,Patricie,Šejnohová,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:pavel-peterka,Pavel Peterka,Pavel,Peterka,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:pavel-tosovsky,Pavel Tošovský,Pavel,Tošovský,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:petr-krause,Petr Krause,Petr,Krause,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:petr-krivan,Petr Křivan,Petr,Křivan,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:petr-nedvedicky,Petr Nedvědický,Petr,Nedvědický,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:radek-weber,Radek Weber,Radek,Weber,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:radim-bzura,Radim Bzura,Radim,Bzura,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:richard-loskot,Richard Loskot,Richard,Loskot,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:tomas-kirbs,Tomáš Kirbs,Tomáš,Kirbs,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:tomas-vlach,Tomáš Vlach,Tomáš,Vlach,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:vera-nechybova,Věra Nechybová,Věra,Nechybová,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:yveta-tomkova,Yveta Tomková,Yveta,Tomková,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
usti-nad-labem:person:zdenek-grus,Zdeněk Grus,Zdeněk,Grus,[],"[{""url"": ""https://www.usti.cz/cz/uredni-portal/sprava-mesta/mesto-jeho-organy/zastupitelstvo-mesta/zapisy-z-jednani-zm.html"", ""note"": ""usti.cz ZM vote-protocol PDFs""}]"
