id,person_id,organization_id,start_date,end_date,sources
plzen:membership:ales-tolar:zastupitelstvo-mesta-plzne,plzen:person:ales-tolar,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:daniel-kus:zastupitelstvo-mesta-plzne,plzen:person:daniel-kus,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:david-prochazka:zastupitelstvo-mesta-plzne,plzen:person:david-prochazka,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:david-slouf:zastupitelstvo-mesta-plzne,plzen:person:david-slouf,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:eliska-bartakova:zastupitelstvo-mesta-plzne,plzen:person:eliska-bartakova,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:helena-rezabova:zastupitelstvo-mesta-plzne,plzen:person:helena-rezabova,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:jan-kakes:zastupitelstvo-mesta-plzne,plzen:person:jan-kakes,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:jan-kalian:zastupitelstvo-mesta-plzne,plzen:person:jan-kalian,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:jan-kurka:zastupitelstvo-mesta-plzne,plzen:person:jan-kurka,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:jaroslav-kubalik:zastupitelstvo-mesta-plzne,plzen:person:jaroslav-kubalik,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:jindrich-blazek:zastupitelstvo-mesta-plzne,plzen:person:jindrich-blazek,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:jiri-klecka:zastupitelstvo-mesta-plzne,plzen:person:jiri-klecka,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
plzen:membership:jiri-lodr:zastupitelstvo-mesta-plzne,plzen:person:jiri-lodr,plzen:org:zastupitelstvo-mesta-plzne,2022-10-18,,"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""start/end derived from first/last recorded vote""}]"
