vote_event_id,voter_id,voter_type,option
plzen:vote-event:98555,plzen:person:eliska-bartakova,person,yes
plzen:vote-event:98555,plzen:person:jindrich-blazek,person,yes
plzen:vote-event:98555,plzen:person:stanislava-cerna,person,yes
plzen:vote-event:98555,plzen:person:petr-fiser,person,yes
plzen:vote-event:98555,plzen:person:vlastimil-gola,person,yes
plzen:vote-event:98555,plzen:person:michal-hausner,person,yes
plzen:vote-event:98555,plzen:person:jan-kakes,person,yes
plzen:vote-event:98555,plzen:person:lucie-kantorova,person,yes
plzen:vote-event:98555,plzen:person:vladimir-krakora,person,yes
plzen:vote-event:98555,plzen:person:jiri-novak,person,yes
plzen:vote-event:98555,plzen:person:david-prochazka,person,yes
plzen:vote-event:98555,plzen:person:martin-slozil,person,yes
plzen:vote-event:98555,plzen:person:tomas-soukup,person,yes
plzen:vote-event:98555,plzen:person:jiri-sramek,person,yes
plzen:vote-event:98555,plzen:person:roman-zarzycky,person,yes
plzen:vote-event:98555,plzen:person:jiri-klecka,person,yes
plzen:vote-event:98555,plzen:person:tomas-kotora,person,yes
plzen:vote-event:98555,plzen:person:tomas-moravek,person,yes
plzen:vote-event:98555,plzen:person:jiri-uhlik,person,yes
plzen:vote-event:98555,plzen:person:jiri-winkelhofer,person,yes
plzen:vote-event:98555,plzen:person:pavel-bosak,person,yes
plzen:vote-event:98555,plzen:person:milan-chaloupka,person,yes
plzen:vote-event:98555,plzen:person:daniel-kus,person,yes
plzen:vote-event:98555,plzen:person:jiri-rezek,person,yes
plzen:vote-event:98555,plzen:person:svetlana-budkova,person,yes
plzen:vote-event:98555,plzen:person:vaclav-chaloupek,person,absent
plzen:vote-event:98555,plzen:person:petr-nahlik,person,yes
plzen:vote-event:98555,plzen:person:ales-tolar,person,yes
plzen:vote-event:98555,plzen:person:lumir-aschenbrenner,person,not voting
plzen:vote-event:98555,plzen:person:martin-baxa,person,absent
plzen:vote-event:98555,plzen:person:lukas-hegner,person,not voting
plzen:vote-event:98555,plzen:person:libuse-hubackova,person,abstain
plzen:vote-event:98555,plzen:person:veronika-jilichova-nova,person,no
plzen:vote-event:98555,plzen:person:jan-kalian,person,not voting
plzen:vote-event:98555,plzen:person:stepan-krnoul,person,abstain
plzen:vote-event:98555,plzen:person:jiri-lodr,person,no
plzen:vote-event:98555,plzen:person:kristyna-nachtmann-svedova,person,abstain
plzen:vote-event:98555,plzen:person:helena-rezabova,person,not voting
plzen:vote-event:98555,plzen:person:petr-suchy,person,not voting
plzen:vote-event:98555,plzen:person:pavel-sindelar,person,no
plzen:vote-event:98555,plzen:person:radoslav-skarda,person,no
plzen:vote-event:98555,plzen:person:david-slouf,person,abstain
plzen:vote-event:98555,plzen:person:michal-vozobule,person,abstain
plzen:vote-event:98555,plzen:person:martin-dittrich,person,yes
plzen:vote-event:98555,plzen:person:jaroslav-kubalik,person,yes
plzen:vote-event:98555,plzen:person:jan-kurka,person,yes
plzen:vote-event:98555,plzen:person:petr-pinkas,person,yes
plzen:vote-event:98557,plzen:person:eliska-bartakova,person,no
plzen:vote-event:98557,plzen:person:jindrich-blazek,person,abstain
plzen:vote-event:98557,plzen:person:stanislava-cerna,person,no
plzen:vote-event:98557,plzen:person:petr-fiser,person,no
plzen:vote-event:98557,plzen:person:vlastimil-gola,person,abstain
plzen:vote-event:98557,plzen:person:michal-hausner,person,abstain
plzen:vote-event:98557,plzen:person:jan-kakes,person,no
plzen:vote-event:98557,plzen:person:lucie-kantorova,person,abstain
plzen:vote-event:98557,plzen:person:vladimir-krakora,person,no
plzen:vote-event:98557,plzen:person:jiri-novak,person,abstain
plzen:vote-event:98557,plzen:person:david-prochazka,person,abstain
plzen:vote-event:98557,plzen:person:martin-slozil,person,abstain
plzen:vote-event:98557,plzen:person:tomas-soukup,person,abstain
plzen:vote-event:98557,plzen:person:jiri-sramek,person,abstain
plzen:vote-event:98557,plzen:person:roman-zarzycky,person,no
plzen:vote-event:98557,plzen:person:jiri-klecka,person,absent
plzen:vote-event:98557,plzen:person:tomas-kotora,person,no
plzen:vote-event:98557,plzen:person:tomas-moravek,person,abstain
plzen:vote-event:98557,plzen:person:jiri-uhlik,person,no
plzen:vote-event:98557,plzen:person:jiri-winkelhofer,person,abstain
plzen:vote-event:98557,plzen:person:pavel-bosak,person,no
plzen:vote-event:98557,plzen:person:milan-chaloupka,person,no
plzen:vote-event:98557,plzen:person:daniel-kus,person,no
plzen:vote-event:98557,plzen:person:jiri-rezek,person,no
plzen:vote-event:98557,plzen:person:svetlana-budkova,person,abstain
plzen:vote-event:98557,plzen:person:vaclav-chaloupek,person,absent
plzen:vote-event:98557,plzen:person:petr-nahlik,person,abstain
plzen:vote-event:98557,plzen:person:ales-tolar,person,abstain
plzen:vote-event:98557,plzen:person:lumir-aschenbrenner,person,yes
