id,name,given_name,family_name,identifiers,sources
plzen:person:ales-tolar,Aleš Tolar,Aleš,Tolar,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:daniel-kus,Daniel Kůs,Daniel,Kůs,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:david-prochazka,David Procházka,David,Procházka,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:david-slouf,David Šlouf,David,Šlouf,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:eliska-bartakova,Eliška Bartáková,Eliška,Bartáková,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:helena-rezabova,Helena Řežábová,Helena,Řežábová,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jan-kakes,Jan Kakeš,Jan,Kakeš,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jan-kalian,Jan Kalián,Jan,Kalián,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jan-kurka,Jan Kůrka,Jan,Kůrka,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jaroslav-kubalik,Jaroslav Kubalík,Jaroslav,Kubalík,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jindrich-blazek,Jindřich Blažek,Jindřich,Blažek,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-klecka,Jiří Klečka,Jiří,Klečka,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-lodr,JIří Lodr,JIří,Lodr,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-novak,Jiří Novák,Jiří,Novák,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-rezek,Jiří Rezek,Jiří,Rezek,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-sladek,Jiří Sládek,Jiří,Sládek,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-sramek,Jiří Šrámek,Jiří,Šrámek,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-uhlik,Jiří Uhlík,Jiří,Uhlík,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:jiri-winkelhofer,Jiří Winkelhöfer,Jiří,Winkelhöfer,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:kristyna-nachtmann-svedova,Kristýna Nachtmann Švédová,Kristýna,Nachtmann Švédová,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:libuse-hubackova,Libuše Hubáčková,Libuše,Hubáčková,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:lucie-kantorova,Lucie Kantorová,Lucie,Kantorová,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:lukas-hegner,Lukáš Hegner,Lukáš,Hegner,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:lumir-aschenbrenner,Lumír Aschenbrenner,Lumír,Aschenbrenner,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:martin-baxa,Martin Baxa,Martin,Baxa,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:martin-dittrich,Martin Dittrich,Martin,Dittrich,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:martin-slozil,Martin Složil,Martin,Složil,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:michal-hausner,Michal Hausner,Michal,Hausner,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:michal-vozobule,Michal Vozobule,Michal,Vozobule,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:milan-chaloupka,Milan Chaloupka,Milan,Chaloupka,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:nikola-simlova,Nikola Šimlová,Nikola,Šimlová,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:pavel-bosak,Pavel Bosák,Pavel,Bosák,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:pavel-sindelar,Pavel Šindelář,Pavel,Šindelář,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:petr-fiser,Petr Fišer,Petr,Fišer,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:petr-nahlik,Petr Náhlík,Petr,Náhlík,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:petr-pinkas,Petr Pinkas,Petr,Pinkas,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:petr-suchy,Petr Suchý,Petr,Suchý,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:radoslav-skarda,Radoslav Škarda,Radoslav,Škarda,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:roman-zarzycky,Roman Zarzycký,Roman,Zarzycký,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:stanislava-cerna,Stanislava Černá,Stanislava,Černá,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:stepan-krnoul,Štěpán Krňoul,Štěpán,Krňoul,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:svetlana-budkova,Světlana Budková,Světlana,Budková,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:tomas-kotora,Tomáš Kotora,Tomáš,Kotora,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:tomas-moravek,Tomáš Morávek,Tomáš,Morávek,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:tomas-soukup,Tomáš Soukup,Tomáš,Soukup,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
plzen:person:vaclav-chaloupek,Václav Chaloupek,Václav,Chaloupek,[],"[{""url"": ""https://usneseni.plzen.eu/"", ""note"": ""usneseni.plzen.eu ZMP vote protocols""}]"
