id,name,classification,identifiers,sources
most-rada:org:rada-mesta-mostu,Rada města Mostu,assembly,"[{""scheme"": ""most-rada:org_abbr"", ""identifier"": ""RMM""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz rada feed, dataset id 8, term 2022-2026""}]"
most-rada:org:group:ano-2011,ANO 2011,group,"[{""scheme"": ""most-rada:zastupko_politicky_subjekt_id"", ""identifier"": ""1""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=1, zkrNazev='ANO 2011'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
most-rada:org:group:promost,ProMOST,group,"[{""scheme"": ""most-rada:zastupko_politicky_subjekt_id"", ""identifier"": ""2""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=2, zkrNazev='ProMOST'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
