id,name,given_name,family_name,identifiers,sources
most-rada:person:jana-falterova-zudova,Jana Falterová Zudová,Jana,Falterová Zudová,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""1""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=1""}]"
most-rada:person:marek-hrvol,Marek Hrvol,Marek,Hrvol,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""2""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=2""}]"
most-rada:person:ivana-hvezdova,Ivana Hvězdová,Ivana,Hvězdová,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""3""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=3""}]"
most-rada:person:vladimir-kubik,Vladimír Kubík,Vladimír,Kubík,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""4""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=4""}]"
most-rada:person:jan-paparega,Jan Paparega,Jan,Paparega,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""5""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=5""}]"
most-rada:person:patricie-prokesova,Patricie Prokešová,Patricie,Prokešová,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""6""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=6""}]"
most-rada:person:marketa-stara,Markéta Stará,Markéta,Stará,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""7""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=7""}]"
most-rada:person:vlastimil-vozka,Vlastimil Vozka,Vlastimil,Vozka,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""8""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=8""}]"
most-rada:person:vaclav-zahradnicek,Václav Zahradníček,Václav,Zahradníček,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""9""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=9""}]"
most-rada:person:ondrej-malek,Ondřej Málek,Ondřej,Málek,"[{""scheme"": ""most-rada:zastupko_id"", ""identifier"": ""10""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/rada/8/dataset"", ""note"": ""zastupko.cz idZastupitel=10""}]"
