vote_event_id,voter_id,voter_type,option
most-rada:vote-event:1,most-rada:person:jana-falterova-zudova,person,yes
most-rada:vote-event:1,most-rada:person:marek-hrvol,person,yes
most-rada:vote-event:1,most-rada:person:ivana-hvezdova,person,yes
most-rada:vote-event:1,most-rada:person:vladimir-kubik,person,yes
most-rada:vote-event:1,most-rada:person:jan-paparega,person,yes
most-rada:vote-event:1,most-rada:person:patricie-prokesova,person,yes
most-rada:vote-event:1,most-rada:person:marketa-stara,person,yes
most-rada:vote-event:1,most-rada:person:vlastimil-vozka,person,absent
most-rada:vote-event:1,most-rada:person:ondrej-malek,person,yes
most-rada:vote-event:2,most-rada:person:jana-falterova-zudova,person,yes
most-rada:vote-event:2,most-rada:person:marek-hrvol,person,yes
most-rada:vote-event:2,most-rada:person:ivana-hvezdova,person,yes
most-rada:vote-event:2,most-rada:person:vladimir-kubik,person,yes
most-rada:vote-event:2,most-rada:person:jan-paparega,person,yes
most-rada:vote-event:2,most-rada:person:patricie-prokesova,person,yes
most-rada:vote-event:2,most-rada:person:marketa-stara,person,yes
most-rada:vote-event:2,most-rada:person:vlastimil-vozka,person,absent
most-rada:vote-event:2,most-rada:person:ondrej-malek,person,yes
most-rada:vote-event:3,most-rada:person:jana-falterova-zudova,person,yes
most-rada:vote-event:3,most-rada:person:marek-hrvol,person,yes
most-rada:vote-event:3,most-rada:person:ivana-hvezdova,person,yes
most-rada:vote-event:3,most-rada:person:vladimir-kubik,person,yes
most-rada:vote-event:3,most-rada:person:jan-paparega,person,yes
most-rada:vote-event:3,most-rada:person:patricie-prokesova,person,yes
most-rada:vote-event:3,most-rada:person:marketa-stara,person,yes
most-rada:vote-event:3,most-rada:person:vlastimil-vozka,person,absent
most-rada:vote-event:3,most-rada:person:ondrej-malek,person,yes
most-rada:vote-event:4,most-rada:person:jana-falterova-zudova,person,yes
most-rada:vote-event:4,most-rada:person:marek-hrvol,person,yes
most-rada:vote-event:4,most-rada:person:ivana-hvezdova,person,yes
most-rada:vote-event:4,most-rada:person:vladimir-kubik,person,yes
