id,name,classification,identifiers,sources
most:org:zastupitelstvo-mesta-mostu,Zastupitelstvo města Mostu,assembly,"[{""scheme"": ""most:org_abbr"", ""identifier"": ""ZMM""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz feed, dataset id 8, term 2022-2026""}]"
most:org:group:ano-2011,ANO 2011,group,"[{""scheme"": ""most:zastupko_politicky_subjekt_id"", ""identifier"": ""1""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=1, zkrNazev='ANO 2011'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
most:org:group:smm,SMM,group,"[{""scheme"": ""most:zastupko_politicky_subjekt_id"", ""identifier"": ""2""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=2, zkrNazev='SMM'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
most:org:group:promost,ProMOST,group,"[{""scheme"": ""most:zastupko_politicky_subjekt_id"", ""identifier"": ""3""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=3, zkrNazev='ProMOST'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
most:org:group:spd-s-pod-trik,SPD s pod.Trik.,group,"[{""scheme"": ""most:zastupko_politicky_subjekt_id"", ""identifier"": ""4""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=4, zkrNazev='SPD s pod.Trik.'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
most:org:group:nezaraz,Nezařaz.,group,"[{""scheme"": ""most:zastupko_politicky_subjekt_id"", ""identifier"": ""5""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=5, zkrNazev='Nezařaz.'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
most:org:group:ods-a-nezavisli,ODS a NEZÁVISLÍ,group,"[{""scheme"": ""most:zastupko_politicky_subjekt_id"", ""identifier"": ""6""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=6, zkrNazev='ODS a NEZÁVISLÍ'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
