id,name,given_name,family_name,identifiers,sources
most:person:alexandr-agh,Alexandr Agh,Alexandr,Agh,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""1""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=1""}]"
most:person:hana-aulicka-jirovcova,Hana Aulická Jírovcová,Hana,Aulická Jírovcová,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""2""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=2""}]"
most:person:lukas-bednarik,Lukáš Bednařík,Lukáš,Bednařík,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""3""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=3""}]"
most:person:renata-cisarova,Renáta Císařová,Renáta,Císařová,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""4""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=4""}]"
most:person:alena-dernerova,Alena Dernerová,Alena,Dernerová,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""5""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=5""}]"
most:person:martin-domin,Martin Domín,Martin,Domín,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""6""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=6""}]"
most:person:daniel-drtik,Daniel Drtík,Daniel,Drtík,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""7""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=7""}]"
most:person:daniel-dunovsky,Daniel Dunovský,Daniel,Dunovský,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""8""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=8""}]"
most:person:jana-falterova-zudova,Jana Falterová Zudová,Jana,Falterová Zudová,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""9""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=9""}]"
most:person:josef-fiala,Josef Fiala,Josef,Fiala,"[{""scheme"": ""most:zastupko_id"", ""identifier"": ""10""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/most/zastupitelstvo/8/dataset"", ""note"": ""zastupko.cz idZastupitel=10""}]"
