vote_event_id,voter_id,voter_type,option
pardubice:vote-event:2-1,pardubice:person:ivana-bohmova,person,yes
pardubice:vote-event:2-1,pardubice:person:frantisek-brendl,person,yes
pardubice:vote-event:2-1,pardubice:person:helena-dvorackova,person,yes
pardubice:vote-event:2-1,pardubice:person:stepanka-frankova,person,yes
pardubice:vote-event:2-1,pardubice:person:karel-haas,person,yes
pardubice:vote-event:2-1,pardubice:person:jana-hanzlikova,person,yes
pardubice:vote-event:2-1,pardubice:person:lukas-havlena,person,yes
pardubice:vote-event:2-1,pardubice:person:radek-hejny,person,yes
pardubice:vote-event:2-1,pardubice:person:jan-hrabal,person,yes
pardubice:vote-event:2-1,pardubice:person:robert-hrdina,person,yes
pardubice:vote-event:2-1,pardubice:person:milan-chaloupecky,person,yes
pardubice:vote-event:2-1,pardubice:person:martin-charvat,person,yes
pardubice:vote-event:2-1,pardubice:person:otakar-janecky,person,yes
pardubice:vote-event:2-1,pardubice:person:vojtech-jirsa,person,yes
pardubice:vote-event:2-1,pardubice:person:jirina-klcova,person,yes
pardubice:vote-event:2-1,pardubice:person:petr-klimpl,person,yes
pardubice:vote-event:2-1,pardubice:person:martin-kolovratnik,person,yes
pardubice:vote-event:2-1,pardubice:person:petr-kvas,person,yes
pardubice:vote-event:2-1,pardubice:person:jiri-lejhanec,person,yes
pardubice:vote-event:2-1,pardubice:person:simona-machacova,person,yes
pardubice:vote-event:2-1,pardubice:person:jan-mazuch,person,yes
pardubice:vote-event:2-1,pardubice:person:jan-metelka,person,not voting
pardubice:vote-event:2-1,pardubice:person:ondrej-muller,person,yes
pardubice:vote-event:2-1,pardubice:person:jan-nadrchal,person,yes
pardubice:vote-event:2-1,pardubice:person:frantisek-nemec,person,yes
pardubice:vote-event:2-1,pardubice:person:vitezslav-novohradsky,person,yes
pardubice:vote-event:2-1,pardubice:person:tomas-pelikan,person,yes
pardubice:vote-event:2-1,pardubice:person:jan-prochazka,person,yes
pardubice:vote-event:2-1,pardubice:person:jiri-rejda,person,yes
pardubice:vote-event:2-1,pardubice:person:jakub-rychtecky,person,yes
pardubice:vote-event:2-1,pardubice:person:dusan-salficky,person,yes
pardubice:vote-event:2-1,pardubice:person:filip-sedlak,person,yes
pardubice:vote-event:2-1,pardubice:person:martin-slezak,person,yes
pardubice:vote-event:2-1,pardubice:person:dusan-stransky,person,yes
pardubice:vote-event:2-1,pardubice:person:vitezslav-stepanek,person,yes
pardubice:vote-event:2-1,pardubice:person:filip-stastny,person,yes
pardubice:vote-event:2-1,pardubice:person:vit-ulrych,person,yes
pardubice:vote-event:2-1,pardubice:person:adela-zdrahalova,person,yes
pardubice:vote-event:2-1,pardubice:person:rene-zivny,person,yes
pardubice:vote-event:2-2,pardubice:person:ivana-bohmova,person,yes
pardubice:vote-event:2-2,pardubice:person:frantisek-brendl,person,yes
pardubice:vote-event:2-2,pardubice:person:helena-dvorackova,person,yes
pardubice:vote-event:2-2,pardubice:person:stepanka-frankova,person,yes
pardubice:vote-event:2-2,pardubice:person:karel-haas,person,yes
pardubice:vote-event:2-2,pardubice:person:jana-hanzlikova,person,yes
pardubice:vote-event:2-2,pardubice:person:lukas-havlena,person,yes
pardubice:vote-event:2-2,pardubice:person:radek-hejny,person,yes
pardubice:vote-event:2-2,pardubice:person:jan-hrabal,person,yes
pardubice:vote-event:2-2,pardubice:person:robert-hrdina,person,yes
pardubice:vote-event:2-2,pardubice:person:milan-chaloupecky,person,yes
pardubice:vote-event:2-2,pardubice:person:martin-charvat,person,yes
pardubice:vote-event:2-2,pardubice:person:otakar-janecky,person,yes
pardubice:vote-event:2-2,pardubice:person:vojtech-jirsa,person,yes
pardubice:vote-event:2-2,pardubice:person:jirina-klcova,person,yes
pardubice:vote-event:2-2,pardubice:person:petr-klimpl,person,yes
pardubice:vote-event:2-2,pardubice:person:martin-kolovratnik,person,yes
pardubice:vote-event:2-2,pardubice:person:petr-kvas,person,yes
pardubice:vote-event:2-2,pardubice:person:jiri-lejhanec,person,yes
pardubice:vote-event:2-2,pardubice:person:simona-machacova,person,yes
pardubice:vote-event:2-2,pardubice:person:jan-mazuch,person,yes
pardubice:vote-event:2-2,pardubice:person:jan-metelka,person,yes
pardubice:vote-event:2-2,pardubice:person:ondrej-muller,person,yes
pardubice:vote-event:2-2,pardubice:person:jan-nadrchal,person,yes
pardubice:vote-event:2-2,pardubice:person:frantisek-nemec,person,yes
pardubice:vote-event:2-2,pardubice:person:vitezslav-novohradsky,person,yes
pardubice:vote-event:2-2,pardubice:person:tomas-pelikan,person,yes
pardubice:vote-event:2-2,pardubice:person:jan-prochazka,person,yes
pardubice:vote-event:2-2,pardubice:person:jiri-rejda,person,yes
pardubice:vote-event:2-2,pardubice:person:jakub-rychtecky,person,yes
pardubice:vote-event:2-2,pardubice:person:dusan-salficky,person,yes
pardubice:vote-event:2-2,pardubice:person:filip-sedlak,person,yes
pardubice:vote-event:2-2,pardubice:person:martin-slezak,person,yes
pardubice:vote-event:2-2,pardubice:person:dusan-stransky,person,yes
pardubice:vote-event:2-2,pardubice:person:vitezslav-stepanek,person,yes
pardubice:vote-event:2-2,pardubice:person:filip-stastny,person,yes
pardubice:vote-event:2-2,pardubice:person:vit-ulrych,person,yes
pardubice:vote-event:2-2,pardubice:person:adela-zdrahalova,person,yes
pardubice:vote-event:2-2,pardubice:person:rene-zivny,person,yes
pardubice:vote-event:2-3,pardubice:person:ivana-bohmova,person,yes
pardubice:vote-event:2-3,pardubice:person:frantisek-brendl,person,abstain
pardubice:vote-event:2-3,pardubice:person:helena-dvorackova,person,abstain
pardubice:vote-event:2-3,pardubice:person:stepanka-frankova,person,no
pardubice:vote-event:2-3,pardubice:person:karel-haas,person,yes
pardubice:vote-event:2-3,pardubice:person:jana-hanzlikova,person,no
pardubice:vote-event:2-3,pardubice:person:lukas-havlena,person,yes
pardubice:vote-event:2-3,pardubice:person:radek-hejny,person,no
pardubice:vote-event:2-3,pardubice:person:jan-hrabal,person,abstain
pardubice:vote-event:2-3,pardubice:person:robert-hrdina,person,yes
pardubice:vote-event:2-3,pardubice:person:milan-chaloupecky,person,no
pardubice:vote-event:2-3,pardubice:person:martin-charvat,person,no
pardubice:vote-event:2-3,pardubice:person:otakar-janecky,person,no
pardubice:vote-event:2-3,pardubice:person:vojtech-jirsa,person,yes
pardubice:vote-event:2-3,pardubice:person:jirina-klcova,person,no
pardubice:vote-event:2-3,pardubice:person:petr-klimpl,person,yes
pardubice:vote-event:2-3,pardubice:person:martin-kolovratnik,person,no
pardubice:vote-event:2-3,pardubice:person:petr-kvas,person,yes
pardubice:vote-event:2-3,pardubice:person:jiri-lejhanec,person,no
pardubice:vote-event:2-3,pardubice:person:simona-machacova,person,yes
pardubice:vote-event:2-3,pardubice:person:jan-mazuch,person,yes
pardubice:vote-event:2-3,pardubice:person:jan-metelka,person,yes
pardubice:vote-event:2-3,pardubice:person:ondrej-muller,person,yes
pardubice:vote-event:2-3,pardubice:person:jan-nadrchal,person,no
pardubice:vote-event:2-3,pardubice:person:frantisek-nemec,person,no
pardubice:vote-event:2-3,pardubice:person:vitezslav-novohradsky,person,abstain
pardubice:vote-event:2-3,pardubice:person:tomas-pelikan,person,abstain
pardubice:vote-event:2-3,pardubice:person:jan-prochazka,person,no
pardubice:vote-event:2-3,pardubice:person:jiri-rejda,person,no
pardubice:vote-event:2-3,pardubice:person:jakub-rychtecky,person,no
pardubice:vote-event:2-3,pardubice:person:dusan-salficky,person,no
pardubice:vote-event:2-3,pardubice:person:filip-sedlak,person,yes
pardubice:vote-event:2-3,pardubice:person:martin-slezak,person,yes
pardubice:vote-event:2-3,pardubice:person:dusan-stransky,person,yes
pardubice:vote-event:2-3,pardubice:person:vitezslav-stepanek,person,yes
pardubice:vote-event:2-3,pardubice:person:filip-stastny,person,no
pardubice:vote-event:2-3,pardubice:person:vit-ulrych,person,yes
pardubice:vote-event:2-3,pardubice:person:adela-zdrahalova,person,no
pardubice:vote-event:2-3,pardubice:person:rene-zivny,person,no
pardubice:vote-event:2-4,pardubice:person:ivana-bohmova,person,yes
pardubice:vote-event:2-4,pardubice:person:frantisek-brendl,person,yes
pardubice:vote-event:2-4,pardubice:person:helena-dvorackova,person,yes
pardubice:vote-event:2-4,pardubice:person:stepanka-frankova,person,yes
pardubice:vote-event:2-4,pardubice:person:karel-haas,person,yes
pardubice:vote-event:2-4,pardubice:person:jana-hanzlikova,person,yes
pardubice:vote-event:2-4,pardubice:person:lukas-havlena,person,yes
pardubice:vote-event:2-4,pardubice:person:radek-hejny,person,not voting
pardubice:vote-event:2-4,pardubice:person:jan-hrabal,person,yes
pardubice:vote-event:2-4,pardubice:person:robert-hrdina,person,yes
pardubice:vote-event:2-4,pardubice:person:milan-chaloupecky,person,yes
pardubice:vote-event:2-4,pardubice:person:martin-charvat,person,yes
pardubice:vote-event:2-4,pardubice:person:otakar-janecky,person,yes
