id,name,classification,identifiers,sources
brno:org:zastupitelstvo-mesta-brna,Zastupitelstvo města Brna,assembly,"[{""scheme"": ""brno:org_abbr"", ""identifier"": ""ZMB""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz feed, dataset id 9, term 2022-2026""}]"
brno:org:group:ano-2011,ANO 2011,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""2""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=2, zkrNazev='ANO 2011'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:pirati,Česká pirátská strana,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""5""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=5, zkrNazev='Piráti'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:nezavisli,Nezávislí,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""7""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=7, zkrNazev='Nezávislí'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:socdem,SOCDEM,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""9""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=9, zkrNazev='SOCDEM'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:zeleni-a-zit-brno,Zelení a Žít Brno,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""10""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=10, zkrNazev='Zelení a Žít Brno'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:spd-trikolora,SPD+Trikolora,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""11""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=11, zkrNazev='SPD+Trikolora'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:ods-a-top-09,ODS a TOP 09,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""12""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=12, zkrNazev='ODS a TOP 09'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:lidovci-a-starostove,Lidovci a Starostové,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""13""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=13, zkrNazev='Lidovci a Starostové'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:cssd-vasi-starostove,ČSSD VAŠI STAROSTOVÉ,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""14""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=14, zkrNazev='ČSSD VAŠI STAROSTOVÉ'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:nezarazeni,nezařazení,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""15""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=15, zkrNazev='nezařazení'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
brno:org:group:brno-klidem-a-nezavisli-zastupitele,Brno klidem a nezávislí zastupitelé,group,"[{""scheme"": ""brno:zastupko_politicky_subjekt_id"", ""identifier"": ""16""}]","[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""zastupko.cz politickeSubjekty id=16, zkrNazev='Brno klidem a nezávislí zastupitelé'. Real live klub, not a 2022 candidate-list fallback (D7 preferred case).""}]"
