vote_event_id,voter_id,group_id,option
2023-01-24-068,Petr Bauer,ANO 2011,yes
2023-01-24-068,Petr Bořecký,ANO 2011,yes
2023-01-24-068,René Černý,ANO 2011,yes
2023-01-24-068,Alena Gruberová,ANO 2011,yes
2023-01-24-068,Kateřina Jarošová,ANO 2011,absent
2023-01-24-068,Karel Kalivoda,ANO 2011,yes
2023-01-24-068,Karin Podivinská,ANO 2011,yes
2023-01-24-068,Pavel Kříž,ANO 2011,yes
2023-01-24-068,Miroslav Kubásek,ANO 2011,yes
2023-01-24-068,René Novotný,ANO 2011,yes
2023-01-24-068,Pavel Outrata,ANO 2011,yes
2023-01-24-068,Vít Prýgl,ANO 2011,yes
2023-01-24-068,Daniel Struž,ANO 2011,yes
2023-01-24-068,Jiří Oliva,ČSSD VAŠI STAROSTOVÉ,yes
2023-01-24-068,Břetislav Štefan,ČSSD VAŠI STAROSTOVÉ,yes
2023-01-24-068,Marek Viskot,ČSSD VAŠI STAROSTOVÉ,yes
2023-01-24-068,Petr Hladík,Lidovci a Starostové,yes
2023-01-24-068,Jakub Hruška,Lidovci a Starostové,absent
2023-01-24-068,Filip Chvátal,Lidovci a Starostové,yes
2023-01-24-068,Jitka Ivičičová,Lidovci a Starostové,yes
2023-01-24-068,Filip Leder,Lidovci a Starostové,yes
2023-01-24-068,Martin Maleček,Lidovci a Starostové,yes
2023-01-24-068,Michal Marek,Lidovci a Starostové,yes
2023-01-24-068,Irena Matonohová,Lidovci a Starostové,yes
2023-01-24-068,Jaroslav Suchý,Lidovci a Starostové,yes
2023-01-24-068,Radomír Vondra,Lidovci a Starostové,yes
2023-01-24-068,Tomáš Aberl,ODS a TOP 09,yes
2023-01-24-068,Kristýna Černá,ODS a TOP 09,yes
2023-01-24-068,David Grund,ODS a TOP 09,yes
2023-01-24-068,Jiří Herman,ODS a TOP 09,yes
2023-01-24-068,Michal Chládek,ODS a TOP 09,yes
2023-01-24-068,Robert Kerndl,ODS a TOP 09,yes
2023-01-24-068,Vladan Krásný,ODS a TOP 09,absent
2023-01-24-068,Petr Kratochvíl,ODS a TOP 09,yes
2023-01-24-068,Andrea Pazderová,ODS a TOP 09,yes
2023-01-24-068,Martin Příborský,ODS a TOP 09,yes
2023-01-24-068,Anna Putnová,ODS a TOP 09,yes
2023-01-24-068,Dagmar Seidlová,ODS a TOP 09,yes
2023-01-24-068,David Trllo,ODS a TOP 09,yes
2023-01-24-068,Pavel Urubek,ODS a TOP 09,yes
2023-01-24-068,Markéta Vaňková,ODS a TOP 09,yes
2023-01-24-068,Libor Zábranský,ODS a TOP 09,yes
2023-01-24-068,Tomáš Koláčný,Piráti,yes
2023-01-24-068,Marek Lahoda,Piráti,yes
2023-01-24-068,Monika Lukášová Spilková,Piráti,yes
2023-01-24-068,Adam Zemek,Piráti,yes
2023-01-24-068,Tomáš Anderle,SPD+Trikolora,yes
2023-01-24-068,Blanka Borovská,SPD+Trikolora,yes
2023-01-24-068,Jiří Kment,SPD+Trikolora,yes
2023-01-24-068,Petr Levíček,SPD+Trikolora,yes
2023-01-24-068,Leoš Prokeš,SPD+Trikolora,yes
2023-01-24-068,Tomáš Skřička,SPD+Trikolora,yes
2023-01-24-068,Jana Drápalová,Zelení a Žít Brno,yes
2023-01-24-068,Jasna Flamiková,Zelení a Žít Brno,yes
2023-01-24-068,Matěj Hollan,Zelení a Žít Brno,abstain
2023-01-24-067,Petr Bauer,ANO 2011,yes
2023-01-24-067,Petr Bořecký,ANO 2011,yes
2023-01-24-067,René Černý,ANO 2011,yes
2023-01-24-067,Alena Gruberová,ANO 2011,yes
2023-01-24-067,Kateřina Jarošová,ANO 2011,absent
2023-01-24-067,Karel Kalivoda,ANO 2011,yes
2023-01-24-067,Karin Podivinská,ANO 2011,yes
2023-01-24-067,Pavel Kříž,ANO 2011,yes
2023-01-24-067,Miroslav Kubásek,ANO 2011,yes
2023-01-24-067,René Novotný,ANO 2011,yes
2023-01-24-067,Pavel Outrata,ANO 2011,yes
2023-01-24-067,Vít Prýgl,ANO 2011,yes
2023-01-24-067,Daniel Struž,ANO 2011,yes
2023-01-24-067,Jiří Oliva,ČSSD VAŠI STAROSTOVÉ,yes
2023-01-24-067,Břetislav Štefan,ČSSD VAŠI STAROSTOVÉ,yes
2023-01-24-067,Marek Viskot,ČSSD VAŠI STAROSTOVÉ,yes
2023-01-24-067,Petr Hladík,Lidovci a Starostové,yes
2023-01-24-067,Jakub Hruška,Lidovci a Starostové,absent
2023-01-24-067,Filip Chvátal,Lidovci a Starostové,yes
