voter_id,with_gov,possible,gover,group_id
Vít Prýgl,463,524,88.4,ANO
Karel Kalivoda,627,639,98.1,ANO
Karin Karasová,39,40,97.5,ANO
Karin Podivinská,583,600,97.2,ANO
Kateřina Jarošová,561,572,98.1,ANO
Pavel Outrata,634,639,99.2,ANO
Pavel Kříž,522,526,99.2,ANO
Petr Bořecký,626,635,98.6,ANO
Miroslav Kubásek,640,640,100.0,ANO
René Novotný,614,633,97.0,ANO
René Černý,628,640,98.1,ANO
Alena Gruberová,632,640,98.8,ANO
Daniel Struž,511,515,99.2,ANO
Petr Bauer,640,640,100.0,ANO
Břetislav Štefan,558,599,93.2,ČSSD
Marek Viskot,527,540,97.6,ČSSD
Jiří Oliva,615,633,97.2,ČSSD
Michal Marek,598,622,96.1,KDU-ČSL a STAN
Jaroslav Suchý,629,635,99.1,KDU-ČSL a STAN
Petr Hladík,540,576,93.8,KDU-ČSL a STAN
Jakub Hruška,557,565,98.6,KDU-ČSL a STAN
Irena Matonohová,624,640,97.5,KDU-ČSL a STAN
Filip Leder,480,495,97.0,KDU-ČSL a STAN
Filip Chvátal,624,637,98.0,KDU-ČSL a STAN
Radomír Vondra,625,633,98.7,KDU-ČSL a STAN
Jitka Ivičičová,607,640,94.8,KDU-ČSL a STAN
Martin Maleček,557,621,89.7,KDU-ČSL a STAN
Pavel Urubek,611,640,95.5,ODS a TOP 09
Michal Chládek,581,638,91.1,ODS a TOP 09
Petr Kratochvíl,591,636,92.9,ODS a TOP 09
Robert Kerndl,550,640,85.9,ODS a TOP 09
Tomáš Aberl,637,640,99.5,ODS a TOP 09
Libor Zábranský,308,310,99.4,ODS a TOP 09
David Trllo,617,639,96.6,ODS a TOP 09
Markéta Vaňková,639,640,99.8,ODS a TOP 09
Vladan Krásný,472,487,96.9,ODS a TOP 09
Andrea Pazderová,600,638,94.0,ODS a TOP 09
Anna Putnová,632,640,98.8,ODS a TOP 09
Kristýna Černá,509,523,97.3,ODS a TOP 09
Dagmar Seidlová,626,635,98.6,ODS a TOP 09
Jiří Herman,603,622,96.9,ODS a TOP 09
David Grund,629,631,99.7,ODS a TOP 09
Martin Příborský,604,618,97.7,ODS a TOP 09
Tomáš Koláčný,541,627,86.3,Piráti
Adam Zemek,523,632,82.8,Piráti
Monika Lukášová Spilková,466,578,80.6,Piráti
Marek Lahoda,525,628,83.6,Piráti
Petr Levíček,202,328,61.6,SPD+Trikolora
Jiří Kment,373,640,58.3,SPD+Trikolora
Blanka Borovská,329,543,60.6,SPD+Trikolora
Leoš Prokeš,364,639,57.0,SPD+Trikolora
Tomáš Anderle,365,640,57.0,SPD+Trikolora
Tomáš Skřička,357,622,57.4,SPD+Trikolora
Jasna Flamiková,481,640,75.2,Zelení a Žít Brno
Jana Drápalová,517,640,80.8,Zelení a Žít Brno
Matěj Hollan,445,608,73.2,Zelení a Žít Brno
