voter_id,attended,possible,group_id,účast
Vít Prýgl,1391,1584,ANO,88
Miroslav Kubásek,1584,1584,ANO,100
Kateřina Jarošová,1516,1584,ANO,96
Karin Podivinská,1472,1544,ANO,95
Karin Karasová,40,40,ANO,100
Karel Kalivoda,1581,1584,ANO,100
Pavel Kříž,1469,1584,ANO,93
Pavel Outrata,1583,1584,ANO,100
Petr Bauer,1584,1584,ANO,100
Petr Bořecký,1558,1584,ANO,98
Daniel Struž,1193,1584,ANO,75
Alena Gruberová,1584,1584,ANO,100
René Černý,1423,1584,ANO,90
René Novotný,1362,1584,ANO,86
Michal Marek,1526,1584,KDU-ČSL a STAN,96
Radomír Vondra,1475,1584,KDU-ČSL a STAN,93
Petr Hladík,1040,1584,KDU-ČSL a STAN,66
Filip Chvátal,1501,1584,KDU-ČSL a STAN,95
Jaroslav Suchý,1469,1584,KDU-ČSL a STAN,93
Jakub Hruška,1498,1584,KDU-ČSL a STAN,95
Irena Matonohová,1477,1584,KDU-ČSL a STAN,93
Filip Leder,1429,1584,KDU-ČSL a STAN,90
Jitka Ivičičová,1207,1210,KDU-ČSL a STAN,100
Martin Maleček,1562,1584,KDU-ČSL a STAN,99
Pavel Urubek,1584,1584,ODS a TOP 09,100
Petr Kratochvíl,1542,1584,ODS a TOP 09,97
Martin Příborský,1562,1584,ODS a TOP 09,99
Robert Kerndl,1494,1584,ODS a TOP 09,94
Tomáš Aberl,1581,1584,ODS a TOP 09,100
Michal Chládek,1243,1584,ODS a TOP 09,78
Libor Zábranský,1032,1584,ODS a TOP 09,65
David Trllo,1582,1584,ODS a TOP 09,100
Andrea Pazderová,1581,1584,ODS a TOP 09,100
Vladan Krásný,1320,1584,ODS a TOP 09,83
Anna Putnová,1582,1584,ODS a TOP 09,100
Kristýna Černá,1353,1584,ODS a TOP 09,85
Dagmar Seidlová,1460,1584,ODS a TOP 09,92
David Grund,1570,1584,ODS a TOP 09,99
Markéta Vaňková,1584,1584,ODS a TOP 09,100
Jiří Herman,1526,1584,ODS a TOP 09,96
Tomáš Koláčný,1444,1584,Piráti,91
Adam Zemek,1525,1584,Piráti,96
Monika Lukášová Spilková,1378,1584,Piráti,87
Marek Lahoda,1534,1584,Piráti,97
Jiří Oliva,1497,1584,SOCDEM,95
Břetislav Štefan,1462,1584,SOCDEM,92
Marek Viskot,1475,1584,SOCDEM,93
Jiří Kment,1576,1584,SPD+Trikolora,99
Petr Levíček,990,1584,SPD+Trikolora,62
Blanka Borovská,1487,1584,SPD+Trikolora,94
Leoš Prokeš,1583,1584,SPD+Trikolora,100
Tomáš Anderle,1584,1584,SPD+Trikolora,100
Tomáš Skřička,1566,1584,SPD+Trikolora,99
Jana Drápalová,1546,1584,Zelení a Žít Brno,98
Matěj Hollan,1365,1584,Zelení a Žít Brno,86
Jasna Flamiková,1399,1584,Zelení a Žít Brno,88
