voter_id,dim1,dim2,dim3,id,jméno,strana
Vít Prýgl,-0.3486420106918853,-0.3860295617173299,-0.3198577194638268,Vít Prýgl,Vít Prýgl,ANO
Miroslav Kubásek,-0.4007164228199123,-0.2790851204818553,-0.2336815803707218,Miroslav Kubásek,Miroslav Kubásek,ANO
Kateřina Jarošová,-0.4429099363027238,-0.1969229013259379,-0.1343195740039876,Kateřina Jarošová,Kateřina Jarošová,ANO
Karin Podivinská,-0.4011838488915375,-0.2228218569124199,-0.2564291181428441,Karin Podivinská,Karin Podivinská,ANO
Karin Karasová,-0.5198723380973607,-0.4619100980889207,0.4092847767398711,Karin Karasová,Karin Karasová,ANO
Karel Kalivoda,-0.4041042086729838,-0.268926851509718,-0.2122471769380547,Karel Kalivoda,Karel Kalivoda,ANO
Pavel Kříž,-0.3972077556549142,-0.2795261102657763,-0.2168360120657274,Pavel Kříž,Pavel Kříž,ANO
Pavel Outrata,-0.3990645183458916,-0.2711980772137638,-0.2161876591505747,Pavel Outrata,Pavel Outrata,ANO
Petr Bauer,-0.3762796051248389,-0.329101326074111,-0.2677015512548581,Petr Bauer,Petr Bauer,ANO
Petr Bořecký,-0.3782069919500028,-0.2945006752428062,-0.2346739671497625,Petr Bořecký,Petr Bořecký,ANO
Daniel Struž,-0.4195932568478984,-0.2309359072703676,-0.0648007038237807,Daniel Struž,Daniel Struž,ANO
Alena Gruberová,-0.3282749579205186,-0.258800183544025,-0.1869501492175795,Alena Gruberová,Alena Gruberová,ANO
René Černý,-0.4089168558648904,-0.2903967969520784,-0.2411634565196948,René Černý,René Černý,ANO
René Novotný,-0.4517306933496661,-0.0827021377516089,0.0020008003486158,René Novotný,René Novotný,ANO
Michal Marek,-0.3406962007429065,0.1939658919958666,0.4402377486749141,Michal Marek,Michal Marek,KDU-ČSL a STAN
Radomír Vondra,-0.2688505728989867,0.1798338250305653,0.4575523169502281,Radomír Vondra,Radomír Vondra,KDU-ČSL a STAN
Petr Hladík,-0.3577005886268607,0.2279937967797581,0.202280838365861,Petr Hladík,Petr Hladík,KDU-ČSL a STAN
Filip Chvátal,-0.3447960928408362,0.243181407693704,0.4152516048750421,Filip Chvátal,Filip Chvátal,KDU-ČSL a STAN
Jaroslav Suchý,-0.3467029755896921,0.1544351678339963,0.436274748218785,Jaroslav Suchý,Jaroslav Suchý,KDU-ČSL a STAN
Jakub Hruška,-0.2886547750634415,0.2934694424404594,0.5248579937437863,Jakub Hruška,Jakub Hruška,KDU-ČSL a STAN
Irena Matonohová,-0.2732014779847752,0.2566527936657508,0.5787916616536379,Irena Matonohová,Irena Matonohová,KDU-ČSL a STAN
Filip Leder,-0.2850353400008536,0.2712502001156612,0.5437894754345877,Filip Leder,Filip Leder,KDU-ČSL a STAN
