id,date,motion:title,motion:result,code,number,counts:yes,counts:no,counts:abstain
2023-04-04-100,2023-04-04T15:50:39+00:00,"112. Návrh zástupců statutárního města Brna do představenstva a dozorčí rady obchodní společnosti Brněnské vodárny a kanalizace, a. s.",pass,Z9/06,100,34,0,10
2023-04-04-099,2023-04-04T15:49:59+00:00,"110. Zapojení Fondu rezerv a rozvoje – návrh na poskytnutí bezúročné zápůjčky z rozpočtu města Brna městské části Brno-Židenice na dokončení rekonstrukce objektu Šámalova 2411/10, Brno, návrh rozpočtového opatření",pass,Z9/06,99,38,0,4
2023-04-04-098,2023-04-04T15:49:25+00:00,109. Návrh Dodatku č. 2 ke Smlouvě o výstavbě veřejné infrastruktury „Soubor staveb Západní brána Brno“ ve znění dodatku č. 1 ze dne 12. 10. 2022,pass,Z9/06,98,38,0,5
2023-04-04-097,2023-04-04T15:48:53+00:00,108. Návrh Smlouvy o spolupráci při výstavbě veřejné infrastruktury„Polyfunkční dům Otakara Ševčíka 77“,pass,Z9/06,97,44,0,0
2023-04-04-096,2023-04-04T15:48:24+00:00,Body č. 100-107,pass,Z9/06,96,37,0,7
2023-04-04-095,2023-04-04T15:46:58+00:00,"99. Návrh vzdání se práva na část nájemného za užívání nebytové jednotky č. 127/1 v budově Jakubské nám. 5/Moravské nám. 3, k. ú. Město Brno",pass,Z9/06,95,42,0,1
2023-04-04-094,2023-04-04T15:46:25+00:00,"98. Návrh svěření majetku města městské části Brno-Židenice, pozemku p. č. 3693 v k. ú. Židenice",pass,Z9/06,94,41,0,1
2023-04-04-093,2023-04-04T15:45:57+00:00,97. Návrh směny části pozemku p. č. 45/4 za část pozemku p. č. 43 a pozemku p. č. 44 k. ú. Ořešín,pass,Z9/06,93,43,0,0
2023-04-04-092,2023-04-04T15:45:31+00:00,"96. Návrh směny části pozemku p. č. 1691/1 za pozemky p. č. 1691/101 a p. č. 1691/103, vše v k. ú. Černovice",pass,Z9/06,92,38,0,4
2023-04-04-091,2023-04-04T15:45:05+00:00,"95. Návrh směny pozemku a části pozemku v k. ú. Soběšice se společností COMMERCIAL SERVICE K + K, s. r. o.",pass,Z9/06,91,39,0,3
2023-04-04-090,2023-04-04T15:44:37+00:00,"94. Návrh směny pozemků v k. ú. Zábrdovice při křižovatce ulic Milady Horákové a Koliště – návrh na setrvání na části usnesení Zastupitelstva města Brna Z8/36. konaného dne 1.3.2022, bod č. 120",pass,Z9/06,90,38,0,4
2023-04-04-089,2023-04-04T15:44:06+00:00,93. Záměr dispozice s pozemkem p. č. 1848/43 v k. ú. Starý Lískovec,pass,Z9/06,89,40,0,4
2023-04-04-088,2023-04-04T15:43:37+00:00,"92. Nabídka předkupního práva ke stavbě č.e. 329, způsob využití rodinná rekreace, postavené na pozemku p. č. 1124/11 v k. ú. Horní Heršpice",pass,Z9/06,88,40,0,4
2023-04-04-087,2023-04-04T15:43:07+00:00,Body č. 88 - 91,pass,Z9/06,87,40,0,0
2023-04-04-086,2023-04-04T15:42:00+00:00,Body č. 82 - 87,pass,Z9/06,86,42,0,0
2023-04-04-085,2023-04-04T15:41:29+00:00,81.Záměr nabytí pozemků v k. ú. Královo Pole z vlastnictví České republiky – Ministerstva obrany do vlastnictví statutárního města Brna,pass,Z9/06,85,37,0,4
2023-04-04-084,2023-04-04T15:40:55+00:00,Body č. 79-80,pass,Z9/06,84,40,0,0
2023-04-04-083,2023-04-04T15:39:53+00:00,"78. Návrh budoucího prodeje částí pozemků p. č. 1005, 1114/1, oba v k. ú. Komárov",pass,Z9/06,83,40,0,0
2023-04-04-082,2023-04-04T13:00:04+00:00,Body č. 74 a 75,pass,Z9/06,82,50,0,0
2023-04-04-081,2023-04-04T12:59:35+00:00,"73. Návrh prodeje pozemků p. č. 3881 a p. č. 3882/2, k. ú. Královo Pole",pass,Z9/06,81,48,0,3
2023-04-04-080,2023-04-04T12:59:12+00:00,72. Návrh prodeje pozemku p. č. 1474 v k. ú. Královo Pole,pass,Z9/06,80,49,0,0
2023-04-04-079,2023-04-04T12:58:18+00:00,"71. Návrh na vypořádání podílového spoluvlastnictví k pozemkům p. č. 3328, 3329 v k. ú. Řečkovice formou reálného rozdělení pozemků",pass,Z9/06,79,47,0,0
2023-04-04-078,2023-04-04T12:57:49+00:00,70. Změna průběhu části katastrální hranice mezi katastrálním územím Pisárky a katastrálním územím Nový Lískovec a návrh na udělení předchozího souhlasu s uzavřením dohody o změně části hranice městských částí Brno – Nový Lískovec a Brno-Kohoutovice,pass,Z9/06,78,50,0,0
2023-04-04-077,2023-04-04T12:57:17+00:00,"69. Návrh dispozice s rodinným domem Heinrichova 4, Brno, včetně pozemků",pass,Z9/06,77,42,0,9
2023-04-04-076,2023-04-04T12:46:03+00:00,68. Družstevní bydlení pro mladé – rozhodnutí o námitce proti vyřazení z projektu,pass,Z9/06,76,49,0,0
2023-04-04-075,2023-04-04T12:45:33+00:00,"67. Návrh na změnu protokolu o zápůjčce z Fondu bytové výstavby – změna výše splátek zápůjčky městské části Brno-střed, návrh rozpočtového opatření",pass,Z9/06,75,47,0,0
2023-04-04-074,2023-04-04T12:45:05+00:00,66. Žádost městské části Brno-Židenice o souhlas s použitím části kladného výsledku hospodaření z vedlejší hospodářské činnosti - bytové hospodářství k jinému účelu - smuteční síň,pass,Z9/06,74,41,0,6
2023-04-04-073,2023-04-04T12:44:35+00:00,66. Žádost městské části Brno-Židenice o souhlas s použitím části kladného výsledku hospodaření z vedlejší hospodářské činnosti - bytové hospodářství k jinému účelu - ZŠ Gajdošova,pass,Z9/06,73,43,0,5
2023-04-04-072,2023-04-04T12:33:01+00:00,"65. Projekt ""Nový domov“ – návrh dodatku č. 2 ke smlouvě o poskytnutí návratné finanční výpomoci",pass,Z9/06,72,51,0,0
2023-04-04-071,2023-04-04T12:32:33+00:00,"64. Projekt ""Rekonstrukce strojovny chlazení – Hala Rondo"" – návrh dodatku č. 2 ke smlouvě o poskytnutí účelové investiční dotace",pass,Z9/06,71,46,0,0
2023-04-04-070,2023-04-04T12:32:06+00:00,"63. Projekt ""EXCLAIM – Exploiting the potential of Clean and Automated Solutions for climate neutral cities"" – účast na projektu",pass,Z9/06,70,45,0,5
2023-04-04-069,2023-04-04T12:31:37+00:00,"62. Projekt “Strengthening metropolitan cooperation and governance in central Europe” – návrh partnerské smlouvy, změna parametrů posouzení projektu",pass,Z9/06,69,42,0,5
