voter_id,dim1,dim2,dim3
Adam Zemek,-0.46192163569765976,-1.0190394913657166,0.39622053139463814
Alena Gruberová,0.3326602677226853,0.23171606724408103,0.1806823092911014
Andrea Pazderová,0.4166378669940517,0.15752693618015592,0.07803990079519481
Anna Putnová,0.44164412285685883,0.04600982112341486,0.02255033763672119
Blanka Borovská,-1.9466758269300055,0.3736611562626946,-0.006946793583113257
Břetislav Štefan,0.349851193610999,-0.0023708138243995792,-0.1098508511510204
Dagmar Seidlová,0.43295093230557585,0.1483811351837083,0.06875601725511496
Daniel Struž,0.44047498288910136,0.18472871412580238,0.041126320217102344
David Grund,0.48648237592290244,0.08659158069699219,0.049070245165544354
David Trllo,0.47447860616747917,0.093872584497937,0.07075300061890058
Filip Chvátal,0.3748768504564789,-0.14229958774161372,-0.3535079100778841
Filip Leder,0.3327438511695353,-0.16694203333267255,-0.473124951649402
Irena Matonohová,0.3116785837859134,-0.1497593497083053,-0.5069037148944774
Jakub Hruška,0.33463373395247553,-0.18593270932914974,-0.46110645214812124
Jana Drápalová,-0.6344886186927486,-0.872959302487366,-0.2991926697574043
Jaroslav Suchý,0.37318258438193613,-0.07698738686722174,-0.39129407031198926
Jasna Flamiková,-0.8195443456242963,-0.892229790227876,-0.003547191052353616
Jitka Ivičičová,0.33751421579051827,-0.148037689069914,-0.44066254865081594
Jiří Herman,0.45811256391696387,0.09227252115539793,0.04445130061982777
Jiří Kment,-1.987125714733273,0.4170206611964007,-0.03855111065924374
Jiří Oliva,0.4244171987169274,0.13280900643687177,0.13223962129208458
Karel Kalivoda,0.41412519592424774,0.2081808937250361,0.1882449468247608
Karin Karasová,0.5157700665497554,0.4914209801642469,-0.315321948550463
Karin Podivinská,0.411830746718772,0.17863884514273895,0.23523346875758794
Kateřina Jarošová,0.44481394829075044,0.164200435064877,0.13559145691668692
Kristýna Černá,0.46075785540424313,0.10062452781285273,0.05666211324663388
Leoš Prokeš,-2.0090198705266977,0.4552790051721049,-0.01677888613801493
Libor Zábranský,0.4622632714649168,0.09845329176261881,-0.0028561935648273354
Marek Lahoda,-0.4305991168595265,-1.0015545206258754,0.34833515751663513
Marek Viskot,0.4308794644754183,0.1515752907547204,0.12479384034454151
Markéta Vaňková,0.45665058045220597,0.0720778748785966,0.04007054785816288
Martin Maleček,0.35951843165490693,-0.11026015709267394,-0.4056727883516642
Martin Příborský,0.43686074430670396,0.1137938920965802,0.09598197704899013
Matěj Hollan,-1.167267888199783,-0.5153804721478572,-0.23907836177186428
Michal Chládek,0.4523606038518173,0.11544310464106239,0.0764172091320564
Michal Marek,0.3656163614817486,-0.11921636713399851,-0.3873791615525334
Miroslav Kubásek,0.4162497903542392,0.21970101148542476,0.20479219060159426
Monika Lukášová Spilková,-0.46967324511423664,-1.0307852601895733,0.3357915625318942
Pavel Kříž,0.41366652905545614,0.2269226287684299,0.18880820388092945
Pavel Outrata,0.41496677451057157,0.2204262832000347,0.19076603053488855
Pavel Urubek,0.4312143848581987,0.08857968997385024,0.08402020855243189
Petr Bauer,0.3826719828763406,0.25720804237433853,0.24103999694462203
Petr Bořecký,0.3895334110511381,0.23422142777239485,0.20768045757044104
Petr Hladík,0.3750894762954236,-0.16671489029143335,-0.22887858501356648
Petr Kratochvíl,0.46797721585577395,0.04360159462495126,0.0601803126233735
Petr Levíček,-1.7460368754122335,0.6086918098679307,-0.21674944447617694
Radomír Vondra,0.29534263791749643,-0.13537968664102779,-0.46466581471319496
René Novotný,0.45372822499234605,0.08308078343778003,-0.013463084599064446
René Černý,0.40582805863649574,0.2323752627431695,0.22390740063277736
Robert Kerndl,0.48007862660935646,0.06103085062585636,0.030683504503630173
Tomáš Aberl,0.42997192489618447,0.190954882021416,0.15008088548643794
Tomáš Anderle,-1.994743544516092,0.4908997991220282,0.05539088702398979
Tomáš Koláčný,-0.32827038556456434,-0.9265130464283042,0.31018547361125137
Tomáš Skřička,-1.978893661977783,0.3996004591725438,0.06305201055592702
Vladan Krásný,0.4016163432263093,0.1536368815792453,0.06256844203154519
Vít Prýgl,0.3593376721383666,0.2983142468582847,0.2790080182194339
