id,person_id,organization_id,start_date,end_date,sources
ostrava:membership:ales-bohac:zastupitelstvo-mesta-ostravy,ostrava:person:ales-bohac,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:ales-linhart:zastupitelstvo-mesta-ostravy,ostrava:person:ales-linhart,ostrava:org:zastupitelstvo-mesta-ostravy,2025-03-26,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:andrea-hoffmannova:zastupitelstvo-mesta-ostravy,ostrava:person:andrea-hoffmannova,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:bretislav-riger:zastupitelstvo-mesta-ostravy,ostrava:person:bretislav-riger,ostrava:org:zastupitelstvo-mesta-ostravy,2023-05-24,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:dagmar-machackova:zastupitelstvo-mesta-ostravy,ostrava:person:dagmar-machackova,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:david-witosz:zastupitelstvo-mesta-ostravy,ostrava:person:david-witosz,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:filip-cmiel:zastupitelstvo-mesta-ostravy,ostrava:person:filip-cmiel,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:frantisek-kolarik:zastupitelstvo-mesta-ostravy,ostrava:person:frantisek-kolarik,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:gabriela-postulkova:zastupitelstvo-mesta-ostravy,ostrava:person:gabriela-postulkova,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
ostrava:membership:hana-tichankova:zastupitelstvo-mesta-ostravy,ostrava:person:hana-tichankova,ostrava:org:zastupitelstvo-mesta-ostravy,2022-10-19,,"[{""url"": ""https://www.ostrava.cz/uloziste/zastupitelstvo/vysledky_hlasovani/vo2226/"", ""note"": ""start/end derived from first/last vote-page appearance for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of the last observed vote.""}]"
