vote_event_id;date;sitting_number;topic;topic_description;member;vote;vote_source;yes_count;no_count;abstain_count;present_count;source_url
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Belbl Emanuel;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Gross Václav;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Hanzlíček Zdeněk;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Ježková Martina;absent;attendance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Kantor Pořádková Eva;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Bezdíčková Jitka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Kouba Tomáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Kovářík Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Neuman Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Novotný Jiří;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Palmová Eliška;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Pfeifer Lukáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Škop Michal;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Tyrpeklová Zdenka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-001;2022-10-12;1;Určení ověřovatelů zápisu a zapisovatele;ZM schvaluje za ověřovatele zápisu z Ustavujícího zasedání ZM Plasy p. Tomáše Koubu a p. Lukáše Pfeifera. Zapisovatelem zápisu tajemnici MČÚ p. Ivanu Horskou;Urbanová Veronika;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
