voter_id,name,with_gov,possible,gover,group_id,party_id
4923,Marcela Plesníková,585,877,66.7,ANO,ANO
5606,Jan Kolář,570,859,66.4,ANO,ANO
6651,Jan Hušbauer,506,881,57.4,ANO,ANO
5099,Martin Hrubčík,516,857,60.2,ANO,ANO
4913,Patrik Nacher,416,807,51.5,ANO,ANO
6254,Stanislav Nekolný,410,946,43.3,ANO,ANO
4915,Radomír Nepil,320,687,46.6,ANO,ANO
5810,Marta Gellová,553,880,62.8,ANO,ANO
5357,Ondřej Prokop,526,896,58.7,ANO,ANO
5147,Radmila Kleslová,328,791,41.5,ANO,ANO
6715,Lenka Vedralová,592,906,65.3,ANO,ANO
5812,Václav Bílek,644,956,67.4,ANO,ANO
6320,Martin Benkovič,443,843,52.6,ANO,ANO
6713,Barbora Rázga,550,850,64.7,ANO,ANO
6723,David Bodeček,844,924,91.3,BEZPP,BEZPP
5764,Hana Kordová Marvanová,475,813,58.4,BEZPP,BEZPP
5796,Jiří Knitl,668,828,80.7,PRAHA SOBĚ,PRAHA SOBĚ
5788,Adam Scheinherr,749,963,77.8,PRAHA SOBĚ,PRAHA SOBĚ
5782,Hana Třeštíková,796,988,80.6,PRAHA SOBĚ,PRAHA SOBĚ
5802,Pavel Zelenka,655,901,72.7,PRAHA SOBĚ,PRAHA SOBĚ
5792,Pavel Vyhnánek,589,977,60.3,PRAHA SOBĚ,PRAHA SOBĚ
5794,Kamila Matějková,771,985,78.3,PRAHA SOBĚ,PRAHA SOBĚ
5784,Petr Zeman,697,892,78.1,PRAHA SOBĚ,PRAHA SOBĚ
5908,Kristýna Drápalová,684,911,75.1,PRAHA SOBĚ,PRAHA SOBĚ
4873,Jan Čižinský,819,965,84.9,PRAHA SOBĚ,PRAHA SOBĚ
5786,Mariana Čapková,534,796,67.1,PRAHA SOBĚ,PRAHA SOBĚ
6492,Vladan Brož,809,988,81.9,PRAHA SOBĚ,PRAHA SOBĚ
6717,Bara Soukup,918,990,92.7,Piráti,Piráti
6719,Jiří Brůžek,818,859,95.2,Piráti,Piráti
5858,Eva Tylová,836,967,86.5,Piráti,Piráti
5826,Zuzana Freitas Lopesová,921,969,95.0,Piráti,Piráti
5746,Daniel Mazur,891,984,90.5,Piráti,Piráti
6022,Magdalena Valdmanová,943,987,95.5,Piráti,Piráti
5656,Viktor Mahrik,944,989,95.4,Piráti,Piráti
6721,Gabriela Lněničková,951,990,96.1,Piráti,Piráti
5760,Jaromír Beránek,855,877,97.5,Piráti,Piráti
4943,Adam Zábranský,829,914,90.7,Piráti,Piráti
6336,Jana Komrsková,884,982,90.0,Piráti,Piráti
5744,Zdeněk Hřib,868,906,95.8,Piráti,Piráti
3169,Milan Urban,514,820,62.7,SPD,SPD
6733,Josef Nerušil,625,987,63.3,SPD,SPD
6735,Zdeněk Seidl,626,990,63.2,SPD,SPD
3925,David Vodrážka,700,942,74.3,SPOLU,ODS
4350,Alexandra Udženija,698,955,73.1,SPOLU,ODS
4941,Jan Wolf,768,882,87.1,SPOLU,KDU-ČSL
4316,Bohuslav Svoboda,780,941,82.9,SPOLU,ODS
5730,Zdeněk Zajíček,677,880,76.9,SPOLU,ODS
6711,Tomáš Slabihoudek,835,986,84.7,SPOLU,TOP 09
5740,Tomáš Kaštovský,721,875,82.4,SPOLU,ODS
6705,Jiří Ptáček,871,977,89.2,SPOLU,TOP 09
5766,Jiří Pospíšil,719,899,80.0,SPOLU,TOP 09
5728,Tomáš Portlík,760,986,77.1,SPOLU,ODS
6709,Tomáš Pek,789,972,81.2,SPOLU,TOP 09
6703,Michal Hroza,832,956,87.0,SPOLU,TOP 09
6707,Pavel Mareš,827,989,83.6,SPOLU,KDU-ČSL
6044,Jakub Lepš,823,978,84.2,SPOLU,TOP 09
6516,Lucie Kubesa,860,965,89.1,SPOLU,ODS
2923,Zdeněk Kovářík,814,983,82.8,SPOLU,ODS
5776,Jan Chabr,819,982,83.4,SPOLU,TOP 09
5738,Martin Sedeke,663,987,67.2,SPOLU,ODS
6727,Antonín Klecanda,814,910,89.5,STAN,STAN
6729,David Procházka,767,882,87.0,STAN,STAN
6731,Zuzana Hamanová,866,930,93.1,STAN,STAN
5768,Petr Hlaváček,831,945,87.9,STAN,STAN
6725,Kateřina Arnotová,818,879,93.1,STAN,STAN
