voter_id,dim1,dim2,dim3,id,jméno,strana,klub
5740,-0.798856587877442,0.3011049268715212,-0.0347036330227975,5740,Tomáš Kaštovský,ODS,SPOLU
2923,-0.5917618264094906,0.5394355790802479,-0.0388348411677779,2923,Zdeněk Kovářík,ODS,SPOLU
5730,-0.6458331394438437,0.4720952593610415,-0.0770301914367611,5730,Zdeněk Zajíček,ODS,SPOLU
5728,-0.5875060984147046,0.5398960081049005,-0.0462755878229419,5728,Tomáš Portlík,ODS,SPOLU
4350,-0.6830817599093717,0.4294916087545649,-0.0081088682332842,4350,Alexandra Udženija,ODS,SPOLU
4316,-0.6306760814112633,0.4833365017570088,0.0494658973728801,4316,Bohuslav Svoboda,ODS,SPOLU
3925,-0.6635765297227303,0.3662806279541358,-0.0688602028650754,3925,David Vodrážka,ODS,SPOLU
5738,-0.5760075173006838,0.5674810809027856,-0.077917341656418,5738,Martin Sedeke,ODS,SPOLU
5788,0.918613125680448,-0.6416842086975065,-0.1685229024885084,5788,Adam Scheinherr,PRAHA SOBĚ,PRAHA SOBĚ
5782,0.8790145286591926,-0.6841677057605202,-0.1519073535928239,5782,Hana Třeštíková,PRAHA SOBĚ,PRAHA SOBĚ
5784,0.8196767910136448,-0.723446058200948,-0.1766128108485207,5784,Petr Zeman,PRAHA SOBĚ,PRAHA SOBĚ
5786,0.615461935702064,-0.8729189615392976,-0.1400853722005384,5786,Mariana Čapková,PRAHA SOBĚ,PRAHA SOBĚ
5794,0.8905856683430377,-0.6756435746580757,-0.1542372937495137,5794,Kamila Matějková,PRAHA SOBĚ,PRAHA SOBĚ
4873,0.9327457119485674,-0.6240390270580187,-0.123561435154664,4873,Jan Čižinský,PRAHA SOBĚ,PRAHA SOBĚ
5802,0.9021460347442934,-0.708034661026911,-0.1101564210315868,5802,Pavel Zelenka,PRAHA SOBĚ,PRAHA SOBĚ
5908,0.930151493571263,-0.6313934195467018,-0.1215329738716198,5908,Kristýna Drápalová,PRAHA SOBĚ,PRAHA SOBĚ
5796,0.922265033668293,-0.6428482823815101,-0.1007930076701639,5796,Jiří Knitl,PRAHA SOBĚ,PRAHA SOBĚ
6492,0.8704659036343453,-0.6938462180503183,-0.108884994116824,6492,Vladan Brož,PRAHA SOBĚ,PRAHA SOBĚ
5792,1.083565001866837,-0.4434196240481637,-0.0764311057648728,5792,Pavel Vyhnánek,PRAHA SOBĚ,PRAHA SOBĚ
6723,0.7343028118473982,0.4651506340551311,0.0883213370081854,6723,David Bodeček,Piráti,Piráti
6717,0.8756754336932214,0.4205559956858062,0.1027232438535033,6717,Bara Soukup,Piráti,Piráti
5826,0.8123735616376415,0.4670675512664202,0.1591778431996002,5826,Zuzana Freitas Lopesová,Piráti,Piráti
5858,0.8074752403551614,0.4170042059007802,0.1037133152291062,5858,Eva Tylová,Piráti,Piráti
6022,0.9075175899095664,0.3685018057660689,0.0916517500822031,6022,Magdalena Valdmanová,Piráti,Piráti
4943,0.8551076606326375,0.4011906105728314,0.1046755614484471,4943,Adam Zábranský,Piráti,Piráti
6721,0.8443248295635822,0.4742973672834764,0.0812224066080126,6721,Gabriela Lněničková,Piráti,Piráti
5760,0.822182854237164,0.4425776239834273,0.1359637859821463,5760,Jaromír Beránek,Piráti,Piráti
6336,0.7560326727975355,0.3949452946534574,0.0550006606120703,6336,Jana Komrsková,Piráti,Piráti
5746,0.8097077565917274,0.4745683473119786,0.1337124853610401,5746,Daniel Mazur,Piráti,Piráti
5744,0.8752123101070204,0.4159833738837015,0.1142152173029955,5744,Zdeněk Hřib,Piráti,Piráti
5656,0.8136059019784618,0.4705634761424732,0.055246813858631,5656,Viktor Mahrik,Piráti,Piráti
6719,0.9290326686197932,0.4179770765506535,0.016684858400777,6719,Jiří Brůžek,Piráti,Piráti
3169,-0.2586836755029064,-0.5650939719001172,0.8808938648481017,3169,Milan Urban,SPD,SPD
6733,-0.2736840376683224,-0.5545428037647014,0.893588213063842,6733,Josef Nerušil,SPD,SPD
6735,-0.4135624920837349,-0.3813175581880633,0.758786146512934,6735,Zdeněk Seidl,SPD,SPD
5768,0.1749710541293153,0.6598316708826039,-0.2039141044262243,5768,Petr Hlaváček,STAN,STAN
6725,0.3794386039252614,0.557433867089937,-0.0845259765359518,6725,Kateřina Arnotová,STAN,STAN
6727,0.3127384540417811,0.5908053432403758,-0.1045103939173767,6727,Antonín Klecanda,STAN,STAN
6729,0.2669070771043889,0.6541599276620776,-0.1127776400814088,6729,David Procházka,STAN,STAN
6731,0.1230166871474715,0.5444572636804572,0.0265553883651532,6731,Zuzana Hamanová,STAN,STAN
5776,-0.5389232108676354,0.5282482591515825,-0.1220625220835407,5776,Jan Chabr,TOP 09,SPOLU
6044,-0.6422155370032355,0.5119510791582728,0.0039076939264023,6044,Jakub Lepš,TOP 09,SPOLU
6711,-0.6182365974291327,0.4709862219944803,-0.0298245493946979,6711,Tomáš Slabihoudek,TOP 09,SPOLU
6705,-0.6685924016525642,0.4524238703782704,-0.0100548700630955,6705,Jiří Ptáček,TOP 09,SPOLU
6709,-0.6466275835894477,0.4853963108867212,0.0007769250498081,6709,Tomáš Pek,TOP 09,SPOLU
5766,-0.6016371376015724,0.5180119293328213,-0.0501003823844699,5766,Jiří Pospíšil,TOP 09,SPOLU
6703,-0.586436951830095,0.539941740155487,-0.043653934930419,6703,Michal Hroza,TOP 09,SPOLU
