voter_id,dim1,dim2,dim3,id,jméno,strana,klub
6651,-0.7366067880716747,-0.5726477171929971,-0.034385738948756,6651,Jan Hušbauer,ANO,ANO
6715,-0.7394891905858062,-0.5539169796294415,0.0107018234232003,6715,Lenka Vedralová,ANO,ANO
5810,-0.7418220995587006,-0.6057863090273771,-0.0561513095738334,5810,Marta Gellová,ANO,ANO
5812,-0.7127983515493356,-0.5762909260910493,-0.062166863741427,5812,Václav Bílek,ANO,ANO
6254,-0.7133611091596258,-0.6004202479534582,-0.0374486054583439,6254,Stanislav Nekolný,ANO,ANO
6713,-0.7328937820476902,-0.5403059671732033,-0.0317552589658042,6713,Barbora Rázga,ANO,ANO
4913,-0.7366248067817435,-0.539678259154692,-0.0054459738351947,4913,Patrik Nacher,ANO,ANO
4915,-0.7408128052441072,-0.5393850423648464,-0.1674615629499035,4915,Radomír Nepil,ANO,ANO
4923,-0.7458789786147658,-0.5620089758179345,-0.0017980759406292,4923,Marcela Plesníková,ANO,ANO
6320,-0.7140154389212741,-0.5806629540702418,-0.0729337361573499,6320,Martin Benkovič,ANO,ANO
5099,-0.8004724450007665,-0.4651461234274135,-0.068164038056437,5099,Martin Hrubčík,ANO,ANO
5147,-0.7299195294499112,-0.5388671959378314,-0.1492081521483323,5147,Radmila Kleslová,ANO,ANO
5357,-0.734261012549031,-0.5810011497894642,-0.069113360863444,5357,Ondřej Prokop,ANO,ANO
5606,-0.7478250572703253,-0.5486395361117009,-0.06381789004772,5606,Jan Kolář,ANO,ANO
5764,-0.8041015010865321,-0.0724494399357836,-0.0168349999239134,5764,Hana Kordová Marvanová,BEZPP,BEZPP
6707,-0.6965154227440613,0.3330051436148435,-0.1889496546659654,6707,Pavel Mareš,KDU-ČSL,SPOLU
4941,-0.5648102452555054,0.5784413678901429,-0.0554511945895474,4941,Jan Wolf,KDU-ČSL,SPOLU
6516,-0.7934751727234136,0.2978219132068946,-0.0349692008001704,6516,Lucie Kubesa,ODS,SPOLU
