vote_event_id,voter_id,voter_name,group_id,party_id,option
58683,6725,Kateřina Arnotová,STAN,STAN,yes
58683,6320,Martin Benkovič,ANO,ANO,yes
58683,5760,Jaromír Beránek,Piráti,Piráti,yes
58683,5812,Václav Bílek,ANO,ANO,yes
58683,6723,David Bodeček,Piráti,Piráti,abstain
58683,6492,Vladan Brož,PRAHA SOBĚ,PRAHA SOBĚ,abstain
58683,6719,Jiří Brůžek,Piráti,Piráti,absent
58683,5786,Mariana Čapková,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,4873,Jan Čižinský,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,5908,Kristýna Drápalová,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,5826,Zuzana Freitas Lopesová,Piráti,Piráti,yes
58683,5810,Marta Gellová,ANO,ANO,not voting
58683,6731,Zuzana Hamanová,STAN,STAN,yes
58683,5768,Petr Hlaváček,STAN,STAN,not voting
58683,6703,Michal Hroza,SPOLU,TOP 09,not voting
58683,5099,Martin Hrubčík,ANO,ANO,yes
58683,5744,Zdeněk Hřib,Piráti,Piráti,yes
58683,6651,Jan Hušbauer,ANO,ANO,no
58683,5776,Jan Chabr,SPOLU,TOP 09,yes
58683,5740,Tomáš Kaštovský,SPOLU,ODS,not voting
58683,6727,Antonín Klecanda,STAN,STAN,not voting
58683,5147,Radmila Kleslová,ANO,ANO,not voting
58683,5796,Jiří Knitl,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,5606,Jan Kolář,ANO,ANO,abstain
58683,6336,Jana Komrsková,Piráti,Piráti,not voting
58683,5764,Hana Kordová Marvanová,SPOLU,BEZPP,yes
58683,2923,Zdeněk Kovářík,SPOLU,ODS,yes
58683,6516,Lucie Kubesa,SPOLU,ODS,yes
58683,6044,Jakub Lepš,SPOLU,TOP 09,not voting
58683,6721,Gabriela Lněničková,Piráti,Piráti,yes
58683,5656,Viktor Mahrik,Piráti,Piráti,no
58683,6707,Pavel Mareš,SPOLU,KDU-ČSL,no
58683,5794,Kamila Matějková,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,5746,Daniel Mazur,Piráti,Piráti,yes
58683,4913,Patrik Nacher,ANO,ANO,no
58683,6254,Stanislav Nekolný,ANO,ANO,yes
58683,4915,Radomír Nepil,ANO,ANO,no
58683,6733,Josef Nerušil,SPD,SPD,no
58683,6709,Tomáš Pek,SPOLU,TOP 09,not voting
58683,4923,Marcela Plesníková,ANO,ANO,not voting
58683,5728,Tomáš Portlík,SPOLU,ODS,abstain
58683,5766,Jiří Pospíšil,SPOLU,TOP 09,not voting
58683,6729,David Procházka,STAN,STAN,abstain
58683,5357,Ondřej Prokop,ANO,ANO,not voting
58683,6705,Jiří Ptáček,SPOLU,TOP 09,yes
58683,6713,Barbora Rázga,ANO,ANO,no
58683,5738,Martin Sedeke,SPOLU,ODS,not voting
58683,6735,Zdeněk Seidl,SPD,SPD,not voting
58683,5788,Adam Scheinherr,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,6711,Tomáš Slabihoudek,SPOLU,TOP 09,yes
58683,6717,Bara Soukup,Piráti,Piráti,no
58683,4316,Bohuslav Svoboda,SPOLU,ODS,abstain
58683,5782,Hana Třeštíková,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,5858,Eva Tylová,Piráti,Piráti,yes
58683,4350,Alexandra Udženija,SPOLU,ODS,not voting
58683,3169,Milan Urban,SPD,SPD,not voting
58683,6022,Magdalena Valdmanová,Piráti,Piráti,no
58683,6715,Lenka Vedralová,ANO,ANO,yes
58683,3925,David Vodrážka,SPOLU,ODS,yes
58683,5792,Pavel Vyhnánek,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,4941,Jan Wolf,SPOLU,KDU-ČSL,yes
58683,4943,Adam Zábranský,Piráti,Piráti,abstain
58683,5730,Zdeněk Zajíček,SPOLU,ODS,not voting
58683,5802,Pavel Zelenka,PRAHA SOBĚ,PRAHA SOBĚ,not voting
58683,5784,Petr Zeman,PRAHA SOBĚ,PRAHA SOBĚ,no
58685,6725,Kateřina Arnotová,STAN,STAN,yes
58685,6320,Martin Benkovič,ANO,ANO,yes
58685,5760,Jaromír Beránek,Piráti,Piráti,yes
58685,5812,Václav Bílek,ANO,ANO,yes
58685,6723,David Bodeček,Piráti,Piráti,yes
58685,6492,Vladan Brož,PRAHA SOBĚ,PRAHA SOBĚ,yes
58685,6719,Jiří Brůžek,Piráti,Piráti,absent
58685,5786,Mariana Čapková,PRAHA SOBĚ,PRAHA SOBĚ,yes
58685,4873,Jan Čižinský,PRAHA SOBĚ,PRAHA SOBĚ,yes
58685,5908,Kristýna Drápalová,PRAHA SOBĚ,PRAHA SOBĚ,yes
58685,5826,Zuzana Freitas Lopesová,Piráti,Piráti,yes
58685,5810,Marta Gellová,ANO,ANO,yes
58685,6731,Zuzana Hamanová,STAN,STAN,yes
58685,5768,Petr Hlaváček,STAN,STAN,yes
58685,6703,Michal Hroza,SPOLU,TOP 09,yes
58685,5099,Martin Hrubčík,ANO,ANO,yes
58685,5744,Zdeněk Hřib,Piráti,Piráti,yes
58685,6651,Jan Hušbauer,ANO,ANO,yes
58685,5776,Jan Chabr,SPOLU,TOP 09,yes
58685,5740,Tomáš Kaštovský,SPOLU,ODS,yes
