id,name,given_name,family_name,identifiers,sources
ceske-budejovice:person:petr-lamac,Petr Lamač,Petr,Lamač,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:petr-maros,Petr Maroš,Petr,Maroš,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:petr-pelech,Petr Pelech,Petr,Pelech,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:petr-stehlik,Petr Stehlík,Petr,Stehlík,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:petr-stepanek,Petr Štěpánek,Petr,Štěpánek,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:roman-kubicek,Roman Kubíček,Roman,Kubíček,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:simon-heller,Šimon Heller,Šimon,Heller,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:svatomir-mlcoch,Svatomír Mlčoch,Svatomír,Mlčoch,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:svetlana-prochazkova,Světlana Procházková,Světlana,Procházková,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:tomas-bouzek,Tomáš Bouzek,Tomáš,Bouzek,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:tomas-chovanec,Tomáš Chovanec,Tomáš,Chovanec,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:tomas-kubin,Tomáš Kubín,Tomáš,Kubín,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:viktor-lavicka,Viktor Lavička,Viktor,Lavička,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:vladan-cisler,Vladan Císler,Vladan,Císler,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:vladimira-bernasova,Vladimíra Bernasová,Vladimíra,Bernasová,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:zbynek-sykora,Zbyněk Sýkora,Zbyněk,Sýkora,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:zdenek-kristan,Zdeněk Křišťan,Zdeněk,Křišťan,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
ceske-budejovice:person:zuzana-kudlackova,Zuzana Kudláčková,Zuzana,Kudláčková,[],"[{""url"": ""https://www.c-budejovice.cz"", ""note"": ""c-budejovice.cz 'Jak se hlasovalo' portal""}]"
