vote_event_id,voter_id,voter_type,option
plasy:vote-event:2022-10-12-001,plasy:person:belbl-emanuel,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:gross-vaclav,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:hanzlicek-zdenek,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:jezkova-martina,person,absent
plasy:vote-event:2022-10-12-001,plasy:person:kantor-poradkova-eva,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:bezdickova-jitka,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:kouba-tomas,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:kovarik-petr,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:neuman-petr,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:novotny-jiri,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:palmova-eliska,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:pfeifer-lukas,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:skop-michal,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:tyrpeklova-zdenka,person,yes
plasy:vote-event:2022-10-12-001,plasy:person:urbanova-veronika,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:belbl-emanuel,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:gross-vaclav,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:hanzlicek-zdenek,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:jezkova-martina,person,absent
plasy:vote-event:2022-10-12-002,plasy:person:kantor-poradkova-eva,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:bezdickova-jitka,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:kouba-tomas,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:kovarik-petr,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:neuman-petr,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:novotny-jiri,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:palmova-eliska,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:pfeifer-lukas,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:skop-michal,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:tyrpeklova-zdenka,person,yes
plasy:vote-event:2022-10-12-002,plasy:person:urbanova-veronika,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:belbl-emanuel,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:gross-vaclav,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:hanzlicek-zdenek,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:jezkova-martina,person,absent
plasy:vote-event:2022-10-12-003,plasy:person:kantor-poradkova-eva,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:bezdickova-jitka,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:kouba-tomas,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:kovarik-petr,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:neuman-petr,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:novotny-jiri,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:palmova-eliska,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:pfeifer-lukas,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:skop-michal,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:tyrpeklova-zdenka,person,yes
plasy:vote-event:2022-10-12-003,plasy:person:urbanova-veronika,person,yes
plasy:vote-event:2022-10-12-004,plasy:person:belbl-emanuel,person,yes
