id,person_id,organization_id,start_date,end_date,sources
plasy:membership:belbl-emanuel:zastupitelstvo-mesta-plasy,plasy:person:belbl-emanuel,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:belbl-emanuel:cssd,plasy:person:belbl-emanuel,plasy:org:group:cssd,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:bezdickova-jitka:zastupitelstvo-mesta-plasy,plasy:person:bezdickova-jitka,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,2024-02-20,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:bezdickova-jitka:ods,plasy:person:bezdickova-jitka,plasy:org:group:ods,2022-10-12,2024-02-20,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}, {""url"": ""https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1"", ""note"": ""Opening council minutes identify Bezdíčková as elected for ODS.""}]"
plasy:membership:gross-vaclav:zastupitelstvo-mesta-plasy,plasy:person:gross-vaclav,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:gross-vaclav:nezavisli-pro-plasko,plasy:person:gross-vaclav,plasy:org:group:nezavisli-pro-plasko,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:hanzlicek-zdenek:zastupitelstvo-mesta-plasy,plasy:person:hanzlicek-zdenek,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:hanzlicek-zdenek:cssd,plasy:person:hanzlicek-zdenek,plasy:org:group:cssd,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:jezkova-martina:zastupitelstvo-mesta-plasy,plasy:person:jezkova-martina,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:jezkova-martina:nezavisli-pro-plasko,plasy:person:jezkova-martina,plasy:org:group:nezavisli-pro-plasko,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:kantor-poradkova-eva:zastupitelstvo-mesta-plasy,plasy:person:kantor-poradkova-eva,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:kantor-poradkova-eva:nezavisli-pro-plasko,plasy:person:kantor-poradkova-eva,plasy:org:group:nezavisli-pro-plasko,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:kornatovsky-ivo:zastupitelstvo-mesta-plasy,plasy:person:kornatovsky-ivo,plasy:org:zastupitelstvo-mesta-plasy,2024-03-13,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:kornatovsky-ivo:ods,plasy:person:kornatovsky-ivo,plasy:org:group:ods,2024-03-13,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:kouba-tomas:zastupitelstvo-mesta-plasy,plasy:person:kouba-tomas,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:kouba-tomas:my,plasy:person:kouba-tomas,plasy:org:group:my,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:kovarik-petr:zastupitelstvo-mesta-plasy,plasy:person:kovarik-petr,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:kovarik-petr:cssd,plasy:person:kovarik-petr,plasy:org:group:cssd,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:neuman-petr:zastupitelstvo-mesta-plasy,plasy:person:neuman-petr,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:neuman-petr:nezavisli-pro-plasko,plasy:person:neuman-petr,plasy:org:group:nezavisli-pro-plasko,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:novotny-jiri:zastupitelstvo-mesta-plasy,plasy:person:novotny-jiri,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:novotny-jiri:my,plasy:person:novotny-jiri,plasy:org:group:my,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:palmova-eliska:zastupitelstvo-mesta-plasy,plasy:person:palmova-eliska,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:palmova-eliska:jdeto-s-podporou-top-09,plasy:person:palmova-eliska,plasy:org:group:jdeto-s-podporou-top-09,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
plasy:membership:pfeifer-lukas:zastupitelstvo-mesta-plasy,plasy:person:pfeifer-lukas,plasy:org:zastupitelstvo-mesta-plasy,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1"", ""note"": ""Term membership; Bezdíčková resigned effective 2024-02-20; Kornatovský took the oath at ZM 9 on 2024-03-13.""}]"
plasy:membership:pfeifer-lukas:nezavisli-pro-plasko,plasy:person:pfeifer-lukas,plasy:org:group:nezavisli-pro-plasko,2022-10-12,,"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/"", ""note"": ""Political affiliation shown on the official council roster.""}]"
