id,name,classification,identifiers,sources
plasy:org:zastupitelstvo-mesta-plasy,Zastupitelstvo města Plasy,assembly,[],"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/zapisy-a-usneseni/?page=1""}]"
plasy:org:group:nezavisli-pro-plasko,Nezávislí pro Plasko,group,[],"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/""}]"
plasy:org:group:cssd,ČSSD,group,[],"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/""}]"
plasy:org:group:my,MY,group,[],"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/""}]"
plasy:org:group:ods,ODS,group,[],"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/""}]"
plasy:org:group:kdu-csl,KDU-ČSL,group,[],"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/""}]"
plasy:org:group:jdeto-s-podporou-top-09,JdeTo s podporou TOP 09,group,[],"[{""url"": ""https://www.plasy.cz/mesto/samosprava/zastupitelstvo-mesta-plasy/""}]"
